Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Trial
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOM  WFRC STB  1 STB  8 STB 17 STB  9 STB  5  WFRC STB 14 STB  5 STB 18 STB 12 STB  2 - - - . - - - -- --
SOM  WFRC STB  1 STB  8 STB 17 STB  9 STB  5  WFRC STB 14 STB  5 STB 18 STB 12 STB  2 - - - . - - -  1  0
SOM  WFRC STB  1 STB  8 STB 17 STB  9 STB  5  WFRC STB 14 STB  5 STB 18 STB 12 STB  2 - - - . - - -  1  0
Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Trial
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG  WFRC STB  1 STB  8 STB 17 STB  9 STB  5  WFRC STB 14 STB  5 STB 18 STB 12 STB  2 - - - . - - -  1  0
 TR  WFRC STB  1 STB  8 STB 17 STB  9 STB  5  WFRC STB 14 STB  5 STB 18 STB 12 STB  2 - - - . - - -  1  0
 TR    AT STB  1 STB  8 STB 17 STB  9 STB  5  WFRC STB 14 STB  5 STB 18 STB 12 STB  2 - - - . - - -  1  0
 TR    AT STB  1 STB  8 STB 17 STB  9 STB  5    AT STB 14 STB  5 STB 18 STB 12 STB  2 - - - . - - -  1  0
 TR    AT STB  1 STB  8 SIP 17 STB  9 STB  5    AT STB 14 STB  5 STB 18 STB 12 STB  2 3 - - . - - -  1  0
 TR    AT STB  1 STB  8 SIP 17 STB  9 STB  5    AT STB 14 STB  5 SIP 18 STB 12 STB  2 3 - - . 8 - -  1  0
 TR    AT STB  1 STB  8 SIP 17 STB  9 STB  5    AT STB 14 SIP  5 SIP 18 STB 12 STB  2 3 - - . 8 7 -  1  0
 TR    AT SIP  1 STB  8 SIP 17 STB  9 STB  5    AT STB 14 SIP  5 SIP 18 STB 12 STB  2 3 1 - . 8 7 -  1  0
 TR    AT SIP  1 STB  8 SIP 17 SIP  9 STB  5    AT STB 14 SIP  5 SIP 18 STB 12 STB  2 3 1 4 . 8 7 -  1  0
 TR    AT SIP  1 STB  8 SIP 17 SIP  9 STB  5    AT STB 14 SIP  5 SIP 18 SIP 12 STB  2 3 1 4 . 8 7 9  1  0
 TR    WT SIP  1 STB  8 SIP 17 SIP  9 STB  5    AT STB 14 SIP  5 SIP 18 SIP 12 STB  2 3 1 4 . 8 7 9  1  0
 TR    WT SIP  1 STB  8 SIP 17 SIP  9 STB  5    WT STB 14 SIP  5 SIP 18 SIP 12 STB  2 3 1 4 . 8 7 9  1  0
WFTC    WT SIP  1 STB  8 SIP 17 SIP  9 STB  5    WT STB 14 SIP  5 SIP 18 SIP 12 STB  2 3 1 4 . 8 7 9  1  0
WFTC    WT SIP  1 STB  8 DYB 17 DYB  9 STB  5    WT STB 14 DYB  5 DYB 18 DYB 12 STB  2 3 1 4 . 8 7 9  1  0
WFTC    WT DYB  1 STB  8 DYB 17 DYB  9 STB  5    WT STB 14 DYB  5 DYB 18 DYB 12 STB  2 3 1 4 . 8 7 9  1  0
WFTC    WT DYB  1 STB  8 DYB 17 DYB  9 STB  5    WT STB 14 DYB  5 DYB 18 DYB 12 STB  2 3 1 4 . 8 7 9  1  0
WFTC    WT DYB  1 STB  8 DYB 17 DYB  9 STB  5    WT STB 14 DYB  5 DYB 18 DYB 12 STB  2 3 1 4 . 8 7 9  1  0
WFTC    WT DYB  1 STB  8 DYB 17 DYB  9 STB  5    WT STB 14 DYB  5 DYB 18 DYB 12 STB  2 3 1 4 . 8 7 9  1  0
WFTC    WT DYB  1 STB  8 DYB 17 DYB  9 STB  5    WT STB 14 DYB  5 DYB 18 DYB 12 STB  2 3 1 4 . 8 7 9  1  0
WFTC    WT DYB  1 STB  8 DYB 17 DYB  9 STB  5    WT STB 14 DYB  5 DYB 18 DYB 12 STB  2 3 1 4 . 8 7 9  1  1
WFTC    WT DYB  1 STB  8 STB 17 DYB  9 STB  5    WT STB 14 DYB  5 STB 18 DYB 12 STB  2 - - - . - - -  1  1
WFTC    WT STB  1 STB  8 STB 17 DYB  9 STB  5    WT STB 14 DYB  5 STB 18 DYB 12 STB  2 - - - . - - -  1  1
WFTC    WT STB  1 STB  8 STB 17 DYB  9 STB  5    WT STB 14 STB  5 STB 18 DYB 12 STB  2 - - - . - - -  2  1
WFTC    WT STB  1 STB  8 STB 17 DYB  9 STB  5    WT STB 14 STB  5 STB 18 STB 12 STB  2 - - - . - - -  2  1
WFTC    WT STB  1 STB  8 STB 17 STB  9 STB  5    WT STB 14 STB  5 STB 18 STB 12 STB  2 - - - . - - -  2  1
WFTC    WT STB  1 STB  8 STB 17 STB  9 STB  5  WFRC STB 15 STB  4 STB 17 STB 11 STB  3 - - - . - - -  2  1
WFTC    WT STB  1 STB  9 STB 16 STB  8 STB  6  WFRC STB 15 STB  4 STB 17 STB 11 STB  3 - - - . - - -  2  1
WFTC  WFRC STB  0 STB  9 STB 16 STB  8 STB  6  WFRC STB 15 STB  4 STB 17 STB 11 STB  3 - - - . - - -  2  1
 TR  WFRC STB  0 STB  9 STB 16 STB  8 STB  6  WFRC STB 15 STB  4 STB 17 STB 11 STB  3 - - - . - - -  2  1
 TR    AT STB  0 STB  9 STB 16 STB  8 STB  6  WFRC STB 15 STB  4 STB 17 STB 11 STB  3 - - - . - - -  2  1
 TR    AT STB  0 STB  9 STB 16 STB  8 STB  6    AT STB 15 STB  4 STB 17 STB 11 STB  3 - - - . - - -  2  1
 TR    AT STB  0 SIP  9 STB 16 STB  8 STB  6    AT STB 15 STB  4 STB 17 STB 11 STB  3 2 - - . - - -  2  1
 TR    AT STB  0 SIP  9 STB 16 STB  8 STB  6    AT STB 15 STB  4 STB 17 STB 11 SIP  3 2 - - . 10 - -  2  1
 TR    AT SIP  0 SIP  9 STB 16 STB  8 STB  6    AT STB 15 STB  4 STB 17 STB 11 SIP  3 2 1 - . 10 - -  2  1
 TR    AT SIP  0 SIP  9 STB 16 STB  8 STB  6    AT STB 15 SIP  4 STB 17 STB 11 SIP  3 2 1 - . 10 7 -  2  1
 TR    AT SIP  0 SIP  9 STB 16 SIP  8 STB  6    AT STB 15 SIP  4 STB 17 STB 11 SIP  3 2 1 4 . 10 7 -  2  1
 TR    AT SIP  0 SIP  9 STB 16 SIP  8 STB  6    AT STB 15 SIP  4 SIP 17 STB 11 SIP  3 2 1 4 . 10 7 8  2  1
 TR    WT SIP  0 SIP  9 STB 16 SIP  8 STB  6    AT STB 15 SIP  4 SIP 17 STB 11 SIP  3 2 1 4 . 10 7 8  2  1
 TR    WT SIP  0 SIP  9 STB 16 SIP  8 STB  6    WT STB 15 SIP  4 SIP 17 STB 11 SIP  3 2 1 4 . 10 7 8  2  1
WFTC    WT SIP  0 SIP  9 STB 16 SIP  8 STB  6    WT STB 15 SIP  4 SIP 17 STB 11 SIP  3 2 1 4 . 10 7 8  2  1
WFTC    WT SIP  0 DYB  9 STB 16 SIP  8 STB  6    WT STB 15 DYB  4 DYB 17 STB 11 DYB  3 2 1 4 . 10 7 8  2  1
WFTC    WT DYB  0 DYB  9 STB 16 DYB  8 STB  6    WT STB 15 DYB  4 DYB 17 STB 11 DYB  3 2 1 4 . 10 7 8  2  1
WFTC    WT DYB  0 DYB  9 STB 16 DYB  8 STB  6    WT STB 15 DYB  4 DYB 17 STB 11 DYB  3 2 1 4 . 10 7 8  2  1
WFTC    WT DYB  0 DYB  9 STB 16 DYB  8 STB  6    WT STB 15 DYB  4 DYB 17 STB 11 DYB  3 2 1 4 . 10 7 8  2  1
WFTC    WT DYB  0 DYB  9 STB 16 DYB  8 STB  6    WT STB 15 DYB  4 DYB 17 STB 11 DYB  3 2 1 4 . 10 7 8  2  1
WFTC    WT DYB  0 DYB  9 STB 16 DYB  8 STB  6    WT STB 15 DYB  4 DYB 17 STB 11 DYB  3 2 1 4 . 10 7 8  2  1
WFTC    WT DYB  0 DYB  9 STB 16 DYB  8 STB  6    WT STB 15 DYB  4 DYB 17 STB 11 DYB  3 2 1 4 . 10 7 8  2  2
WFTC    WT DYB  0 STB  9 STB 16 DYB  8 STB  6    WT STB 15 DYB  4 DYB 17 STB 11 STB  3 - - - . - - -  2  2
WFTC    WT STB  0 STB  9 STB 16 DYB  8 STB  6    WT STB 15 DYB  4 DYB 17 STB 11 STB  3 - - - . - - -  2  2
WFTC    WT STB  0 STB  9 STB 16 DYB  8 STB  6    WT STB 15 STB  4 DYB 17 STB 11 STB  3 - - - . - - -  3  2
WFTC    WT STB  0 STB  9 STB 16 DYB  8 STB  6    WT STB 15 STB  4 STB 17 STB 11 STB  3 - - - . - - -  3  2
WFTC    WT STB  0 STB  9 STB 16 STB  8 STB  6    WT STB 15 STB  4 STB 17 STB 11 STB  3 - - - . - - -  3  2
WFTC    WT STB  0 STB  9 STB 16 STB  8 STB  6  WFRC STB 16 STB  3 STB 16 STB 12 STB  2 - - - . - - -  3  2
WFTC    WT STB  0 STB  9 STB 16 STB  8 STB  6  WFRC STB 16 STB  3 STB 16 STB 12 STB  2 - - - . - - -  3  2
WFTC  WFRC STB -1 STB  8 STB 17 STB  7 STB  7  WFRC STB 16 STB  3 STB 16 STB 12 STB  2 - - - . - - -  3  2
 TR  WFRC STB -1 STB  8 STB 17 STB  7 STB  7  WFRC STB 16 STB  3 STB 16 STB 12 STB  2 - - - . - - -  3  2
 TR    AT STB -1 STB  8 STB 17 STB  7 STB  7  WFRC STB 16 STB  3 STB 16 STB 12 STB  2 - - - . - - -  3  2
 TR    AT STB -1 STB  8 SIP 17 STB  7 STB  7  WFRC STB 16 STB  3 STB 16 STB 12 STB  2 3 - - . - - -  3  2
 TR    AT STB -1 STB  8 SIP 17 STB  7 STB  7    AT STB 16 STB  3 STB 16 STB 12 STB  2 3 - - . - - -  3  2
 TR    AT SIP -1 STB  8 SIP 17 STB  7 STB  7    AT STB 16 STB  3 STB 16 STB 12 STB  2 3 1 - . - - -  3  2
 TR    AT SIP -1 STB  8 SIP 17 STB  7 STB  7    AT SIP 16 STB  3 STB 16 STB 12 STB  2 3 1 - . 6 - -  3  2
 TR    AT SIP -1 STB  8 SIP 17 STB  7 STB  7    AT SIP 16 STB  3 STB 16 SIP 12 STB  2 3 1 - . 6 9 -  3  2
 TR    AT SIP -1 STB  8 SIP 17 STB  7 SIP  7    AT SIP 16 STB  3 STB 16 SIP 12 STB  2 3 1 5 . 6 9 -  3  2
 TR    AT SIP -1 STB  8 SIP 17 STB  7 SIP  7    AT SIP 16 SIP  3 STB 16 SIP 12 STB  2 3 1 5 . 6 9 7  3  2
 TR    WT SIP -1 STB  8 SIP 17 STB  7 SIP  7    AT SIP 16 SIP  3 STB 16 SIP 12 STB  2 3 1 5 . 6 9 7  3  2
 TR    WT SIP -1 STB  8 SIP 17 STB  7 SIP  7    WT SIP 16 SIP  3 STB 16 SIP 12 STB  2 3 1 5 . 6 9 7  3  2
WFTC    WT SIP -1 STB  8 SIP 17 STB  7 SIP  7    WT SIP 16 SIP  3 STB 16 SIP 12 STB  2 3 1 5 . 6 9 7  3  2
WFTC    WT SIP -1 STB  8 DYB 17 STB  7 SIP  7    WT DYB 16 SIP  3 STB 16 DYB 12 STB  2 3 1 5 . 6 9 7  3  2
WFTC    WT DYB -1 STB  8 DYB 17 STB  7 DYB  7    WT DYB 16 DYB  3 STB 16 DYB 12 STB  2 3 1 5 . 6 9 7  3  2
WFTC    WT DYB -1 STB  8 DYB 17 STB  7 DYB  7    WT DYB 16 DYB  3 STB 16 DYB 12 STB  2 3 1 5 . 6 9 7  3  2
WFTC    WT DYB -1 STB  8 DYB 17 STB  7 DYB  7    WT DYB 16 DYB  3 STB 16 DYB 12 STB  2 3 1 5 . 6 9 7  3  2
WFTC    WT DYB -1 STB  8 DYB 17 STB  7 DYB  7    WT DYB 16 DYB  3 STB 16 DYB 12 STB  2 3 1 5 . 6 9 7  3  2
WFTC    WT DYB -1 STB  8 DYB 17 STB  7 DYB  7    WT DYB 16 DYB  3 STB 16 DYB 12 STB  2 3 1 5 . 6 9 7  3  2
WFTC    WT DYB -1 STB  8 DYB 17 STB  7 DYB  7    WT DYB 16 DYB  3 STB 16 DYB 12 STB  2 3 1 5 . 6 9 7  3  3
WFTC    WT DYB -1 STB  8 STB 17 STB  7 DYB  7    WT DYB 16 DYB  3 STB 16 DYB 12 STB  2 - - - . - - -  3  3
WFTC    WT STB -1 STB  8 STB 17 STB  7 DYB  7    WT STB 16 DYB  3 STB 16 DYB 12 STB  2 - - - . - - -  4  3
WFTC    WT STB -1 STB  8 STB 17 STB  7 STB  7    WT STB 16 DYB  3 STB 16 DYB 12 STB  2 - - - . - - -  4  3
WFTC    WT STB -1 STB  8 STB 17 STB  7 STB  7    WT STB 16 DYB  3 STB 16 STB 12 STB  2 - - - . - - -  4  3
WFTC    WT STB -1 STB  8 STB 16 STB  8 STB  6    WT STB 16 DYB  3 STB 16 STB 12 STB  2 - - - . - - -  4  3
WFTC  WFRC STB -2 STB  9 STB 16 STB  8 STB  6    WT STB 16 STB  3 STB 16 STB 12 STB  2 - - - . - - -  4  3
WFTC  WFRC STB -2 STB  9 STB 16 STB  8 STB  6    WT STB 16 STB  3 STB 16 STB 12 STB  2 - - - . - - -  4  3
WFTC    AT STB -2 STB  9 STB 16 STB  8 STB  6  WFRC STB 15 STB  2 STB 17 STB 11 STB  3 - - - . - - -  4  3
WFTC    AT STB -2 SIP  9 STB 16 STB  8 STB  6  WFRC STB 15 STB  2 STB 17 STB 11 STB  3 - - - . - - -  4  3
WFTC    AT STB -2 SIP  9 STB 16 STB  8 STB  6  WFRC STB 15 STB  2 STB 17 STB 11 STB  3 2 - - . - - -  4  3
 TR    AT STB -2 SIP  9 SIP 16 STB  8 STB  6  WFRC STB 15 STB  2 STB 17 STB 11 STB  3 2 - - . - - -  4  3
 TR    AT STB -2 SIP  9 SIP 16 STB  8 STB  6  WFRC STB 15 STB  2 STB 17 STB 11 STB  3 2 3 - . - - -  4  3
 TR    AT STB -2 SIP  9 SIP 16 STB  8 STB  6  WFRC STB 15 STB  2 SIP 17 STB 11 STB  3 2 3 - . 8 - -  4  3
 TR    AT SIP -2 SIP  9 SIP 16 STB  8 STB  6  WFRC STB 15 STB  2 SIP 17 STB 11 STB  3 2 3 1 . 8 - -  4  3
 TR    AT SIP -2 SIP  9 SIP 16 STB  8 STB  6    AT STB 15 STB  2 SIP 17 STB 11 STB  3 2 3 1 . 8 - -  4  3
 TR    AT SIP -2 SIP  9 SIP 16 STB  8 STB  6    AT STB 15 STB  2 SIP 17 STB 11 SIP  3 2 3 1 . 8 10 -  4  3
 TR    AT SIP -2 SIP  9 SIP 16 STB  8 STB  6    AT STB 15 SIP  2 SIP 17 STB 11 SIP  3 2 3 1 . 8 10 7  4  3
 TR    WT SIP -2 SIP  9 SIP 16 STB  8 STB  6    AT STB 15 SIP  2 SIP 17 STB 11 SIP  3 2 3 1 . 8 10 7  4  3
 TR    WT SIP -2 SIP  9 SIP 16 STB  8 STB  6    WT STB 15 SIP  2 SIP 17 STB 11 SIP  3 2 3 1 . 8 10 7  4  3
WFTC    WT SIP -2 SIP  9 SIP 16 STB  8 STB  6    WT STB 15 SIP  2 SIP 17 STB 11 SIP  3 2 3 1 . 8 10 7  4  3
WFTC    WT SIP -2 DYB  9 DYB 16 STB  8 STB  6    WT STB 15 SIP  2 SIP 17 STB 11 SIP  3 2 3 1 . 8 10 7  4  3
WFTC    WT DYB -2 DYB  9 DYB 16 STB  8 STB  6    WT STB 15 DYB  2 DYB 17 STB 11 DYB  3 2 3 1 . 8 10 7  4  3
WFTC    WT DYB -2 DYB  9 DYB 16 STB  8 STB  6    WT STB 15 DYB  2 DYB 17 STB 11 DYB  3 2 3 1 . 8 10 7  4  3
WFTC    WT DYB -2 DYB  9 DYB 16 STB  8 STB  6    WT STB 15 DYB  2 DYB 17 STB 11 DYB  3 2 3 1 . 8 10 7  4  3
WFTC    WT DYB -2 DYB  9 DYB 16 STB  8 STB  6    WT STB 15 DYB  2 DYB 17 STB 11 DYB  3 2 3 1 . 8 10 7  4  3
WFTC    WT DYB -2 DYB  9 DYB 16 STB  8 STB  6    WT STB 15 DYB  2 DYB 17 STB 11 DYB  3 2 3 1 . 8 10 7  4  3
WFTC    WT DYB -2 DYB  9 DYB 16 STB  8 STB  6    WT STB 15 DYB  2 DYB 17 STB 11 DYB  3 2 3 1 . 8 10 7  4  2
WFTC    WT DYB -2 STB  9 DYB 16 STB  8 STB  6    WT STB 15 DYB  2 STB 17 STB 11 DYB  3 - - - . - - -  4  2
WFTC    WT DYB -2 STB  9 STB 16 STB  8 STB  6    WT STB 15 DYB  2 STB 17 STB 11 DYB  3 - - - . - - -  5  2
WFTC    WT DYB -2 STB  9 STB 16 STB  8 STB  6    WT STB 15 DYB  2 STB 17 STB 11 STB  3 - - - . - - -  5  2
WFTC    WT STB -2 STB  9 STB 16 STB  8 STB  6    WT STB 15 DYB  2 STB 17 STB 11 STB  3 - - - . - - -  5  2
WFTC    WT STB -2 STB  9 STB 16 STB  8 STB  6    WT STB 15 STB  2 STB 17 STB 11 STB  3 - - - . - - -  5  2
WFTC    WT STB -2 STB  9 STB 16 STB  8 STB  6    WT STB 15 STB  2 STB 17 STB 11 STB  3 - - - . - - -  5  2
WFTC  WFRC STB -3 STB  8 STB 15 STB  9 STB  7  WFRC STB 16 STB  1 STB 16 STB 12 STB  2 - - - . - - -  5  2
WFTC  WFRC STB -3 STB  8 STB 15 STB  9 STB  7  WFRC STB 16 STB  1 STB 16 STB 12 STB  2 - - - . - - -  5  2
WFTC    AT STB -3 STB  8 STB 15 STB  9 STB  7  WFRC STB 16 STB  1 STB 16 STB 12 STB  2 - - - . - - -  5  2
 TR    AT STB -3 STB  8 STB 15 STB  9 STB  7  WFRC STB 16 STB  1 STB 16 STB 12 STB  2 - - - . - - -  5  2
 TR    AT STB -3 STB  8 STB 15 STB  9 STB  7    AT STB 16 STB  1 STB 16 STB 12 STB  2 - - - . - - -  5  2
 TR    AT STB -3 STB  8 STB 15 STB  9 STB  7    AT STB 16 STB  1 SIP 16 STB 12 STB  2 - - - . 8 - -  5  2
 TR    AT STB -3 STB  8 STB 15 STB  9 SIP  7    AT STB 16 STB  1 SIP 16 STB 12 STB  2 5 - - . 8 - -  5  2
 TR    AT STB -3 SIP  8 STB 15 STB  9 SIP  7    AT STB 16 STB  1 SIP 16 STB 12 STB  2 5 2 - . 8 - -  5  2
 TR    AT STB -3 SIP  8 STB 15 STB  9 SIP  7    AT SIP 16 STB  1 SIP 16 STB 12 STB  2 5 2 - . 8 6 -  5  2
 TR    AT STB -3 SIP  8 SIP 15 STB  9 SIP  7    AT SIP 16 STB  1 SIP 16 STB 12 STB  2 5 2 3 . 8 6 -  5  2
 TR    AT STB -3 SIP  8 SIP 15 STB  9 SIP  7    AT SIP 16 SIP  1 SIP 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
 TR    WT STB -3 SIP  8 SIP 15 STB  9 SIP  7    AT SIP 16 SIP  1 SIP 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
 TR    WT STB -3 SIP  8 SIP 15 STB  9 SIP  7    WT SIP 16 SIP  1 SIP 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
WFTC    WT STB -3 SIP  8 SIP 15 STB  9 SIP  7    WT SIP 16 SIP  1 SIP 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
WFTC    WT STB -3 SIP  8 SIP 15 STB  9 DYB  7    WT DYB 16 SIP  1 DYB 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
WFTC    WT STB -3 DYB  8 DYB 15 STB  9 DYB  7    WT DYB 16 DYB  1 DYB 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
WFTC    WT STB -3 DYB  8 DYB 15 STB  9 DYB  7    WT DYB 16 DYB  1 DYB 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
WFTC    WT STB -3 DYB  8 DYB 15 STB  9 DYB  7    WT DYB 16 DYB  1 DYB 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
WFTC    WT STB -3 DYB  8 DYB 15 STB  9 DYB  7    WT DYB 16 DYB  1 DYB 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
WFTC    WT STB -3 DYB  8 DYB 15 STB  9 DYB  7    WT DYB 16 DYB  1 DYB 16 STB 12 STB  2 5 2 3 . 8 6 7  5  2
WFTC    WT STB -3 DYB  8 DYB 15 STB  9 DYB  7    WT DYB 16 DYB  1 DYB 16 STB 12 STB  2 5 2 3 . 8 6 7  5  3
WFTC    WT STB -3 DYB  8 DYB 15 STB  9 STB  7    WT DYB 16 DYB  1 STB 16 STB 12 STB  2 - - - . - - -  5  3
WFTC    WT STB -3 DYB  8 DYB 15 STB  9 STB  7    WT STB 16 DYB  1 STB 16 STB 12 STB  2 - - - . - - -  5  3
WFTC    WT STB -3 STB  8 DYB 15 STB  9 STB  7    WT STB 16 DYB  1 STB 16 STB 12 STB  2 - - - . - - -  6  3
WFTC    WT STB -3 STB  8 STB 15 STB  9 STB  7    WT STB 16 DYB  1 STB 16 STB 12 STB  2 - - - . - - -  6  3
WFTC    WT STB -3 STB  8 STB 15 STB  9 STB  7    WT STB 16 STB  1 STB 16 STB 12 STB  2 - - - . - - -  6  3
WFTC    WT STB -3 STB  8 STB 15 STB  9 STB  7    WT STB 16 STB  1 STB 16 STB 12 STB  2 - - - . - - -  6  3
WFTC  WFRC STB -2 STB  7 STB 14 STB 10 STB  6  WFRC STB 15 STB  0 STB 15 STB 13 STB  3 - - - . - - -  6  3
WFTC  WFRC STB -2 STB  7 STB 14 STB 10 STB  6  WFRC STB 15 STB  0 STB 15 STB 13 STB  3 - - - . - - -  6  3
WFTC    AT STB -2 STB  7 STB 14 STB 10 STB  6  WFRC STB 15 STB  0 STB 15 STB 13 STB  3 - - - . - - -  6  3
 TR    AT STB -2 STB  7 STB 14 STB 10 STB  6  WFRC STB 15 STB  0 STB 15 STB 13 STB  3 - - - . - - -  6  3
 TR    AT STB -2 STB  7 STB 14 SIP 10 STB  6  WFRC STB 15 STB  0 STB 15 STB 13 STB  3 4 - - . - - -  6  3
 TR    AT STB -2 STB  7 STB 14 SIP 10 STB  6  WFRC STB 15 STB  0 SIP 15 STB 13 STB  3 4 - - . 8 - -  6  3
 TR    AT STB -2 STB  7 STB 14 SIP 10 SIP  6  WFRC STB 15 STB  0 SIP 15 STB 13 STB  3 4 5 - . 8 - -  6  3
 TR    AT STB -2 SIP  7 STB 14 SIP 10 SIP  6  WFRC STB 15 STB  0 SIP 15 STB 13 STB  3 4 5 2 . 8 - -  6  3
 TR    AT STB -2 SIP  7 STB 14 SIP 10 SIP  6    AT STB 15 STB  0 SIP 15 STB 13 STB  3 4 5 2 . 8 - -  6  3
 TR    AT STB -2 SIP  7 STB 14 SIP 10 SIP  6    AT STB 15 STB  0 SIP 15 SIP 13 STB  3 4 5 2 . 8 9 -  6  3
 TR    AT STB -2 SIP  7 STB 14 SIP 10 SIP  6    AT STB 15 SIP  0 SIP 15 SIP 13 STB  3 4 5 2 . 8 9 7  6  3
 TR    WT STB -2 SIP  7 STB 14 SIP 10 SIP  6    AT STB 15 SIP  0 SIP 15 SIP 13 STB  3 4 5 2 . 8 9 7  6  3
 TR    WT STB -2 SIP  7 STB 14 SIP 10 SIP  6    WT STB 15 SIP  0 SIP 15 SIP 13 STB  3 4 5 2 . 8 9 7  6  3
WFTC    WT STB -2 SIP  7 STB 14 SIP 10 SIP  6    WT STB 15 SIP  0 SIP 15 SIP 13 STB  3 4 5 2 . 8 9 7  6  3
WFTC    WT STB -2 SIP  7 STB 14 DYB 10 DYB  6    WT STB 15 DYB  0 DYB 15 DYB 13 STB  3 4 5 2 . 8 9 7  6  3
WFTC    WT STB -2 DYB  7 STB 14 DYB 10 DYB  6    WT STB 15 DYB  0 DYB 15 DYB 13 STB  3 4 5 2 . 8 9 7  6  3
WFTC    WT STB -2 DYB  7 STB 14 DYB 10 DYB  6    WT STB 15 DYB  0 DYB 15 DYB 13 STB  3 4 5 2 . 8 9 7  6  3
WFTC    WT STB -2 DYB  7 STB 14 DYB 10 DYB  6    WT STB 15 DYB  0 DYB 15 DYB 13 STB  3 4 5 2 . 8 9 7  6  3
WFTC    WT STB -2 DYB  7 STB 14 DYB 10 DYB  6    WT STB 15 DYB  0 DYB 15 DYB 13 STB  3 4 5 2 . 8 9 7  6  3
WFTC    WT STB -2 DYB  7 STB 14 DYB 10 DYB  6    WT STB 15 DYB  0 DYB 15 DYB 13 STB  3 4 5 2 . 8 9 7  6  3
WFTC    WT STB -2 DYB  7 STB 14 DYB 10 DYB  6    WT STB 15 DYB  0 DYB 15 DYB 13 STB  3 4 5 2 . 8 9 7  6  4
WFTC    WT STB -2 DYB  7 STB 14 STB 10 DYB  6    WT STB 15 DYB  0 STB 15 DYB 13 STB  3 - - - . - - -  6  4
WFTC    WT STB -2 DYB  7 STB 14 STB 10 STB  6    WT STB 15 DYB  0 STB 15 DYB 13 STB  3 - - - . - - -  6  4
WFTC    WT STB -2 DYB  7 STB 14 STB 10 STB  6    WT STB 15 DYB  0 STB 15 STB 13 STB  3 - - - . - - -  6  4
WFTC    WT STB -2 STB  7 STB 14 STB 10 STB  6    WT STB 15 DYB  0 STB 15 STB 13 STB  3 - - - . - - -  6  4
WFTC    WT STB -2 STB  7 STB 14 STB 10 STB  6    WT STB 15 STB  0 STB 15 STB 13 STB  3 - - - . - - -  6  4
WFTC    WT STB -1 STB  6 STB 15 STB  9 STB  5    WT STB 15 STB  0 STB 15 STB 13 STB  3 - - - . - - -  6  4
WFTC  WFRC STB -1 STB  6 STB 15 STB  9 STB  5  WFRC STB 16 STB -1 STB 14 STB 12 STB  4 - - - . - - -  6  4
WFTC  WFRC STB -1 STB  6 STB 15 STB  9 STB  5  WFRC STB 16 STB -1 STB 14 STB 12 STB  4 - - - . - - -  6  4
EOG  WFRC STB -1 STB  6 STB 15 STB  9 STB  5  WFRC STB 16 STB -1 STB 14 STB 12 STB  4 - - - . - - -  6  4
Game 1 was won by team 2 by knock out in 6 trials.
Game 2
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Trial
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG  WFRC STB -1 STB  6 STB 15 STB  9 STB  5  WFRC STB 16 STB -1 STB 14 STB 12 STB  4 - - - . - - -  1  0
 TR  WFRC STB -1 STB  6 STB 15 STB  9 STB  5  WFRC STB 16 STB -1 STB 14 STB 12 STB  4 - - - . - - -  1  0
 TR    AT STB -1 STB  6 STB 15 STB  9 STB  5  WFRC STB 16 STB -1 STB 14 STB 12 STB  4 - - - . - - -  1  0
 TR    AT STB -1 STB  6 STB 15 STB  9 STB  5    AT STB 16 STB -1 STB 14 STB 12 STB  4 - - - . - - -  1  0
